Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L) morning,DO (mg/L) evening,Temp morning,Temp evening,Turbidity (cm) morning,Turbidity (cm) evening,Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,710,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,715,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,410,,,,1,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,220,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,242,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,228,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,235,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,230,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,236,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,235,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,219,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,221,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,462,,,,2,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,480,,,,3,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,490,,,,3,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,756,,,,4,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,321,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,354,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,711,,,,5,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,551,,,,6,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,520,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Smallmouth Buffalo,555,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,620,17.4,15.5,48,53,Smallmouth Buffalo,510,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,676,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Spotted Gar,666,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Gizzard Shad,261,,,,,,
Gillnet,36,16:37,8:21,15:44,9.86,9.15,17.4,15.5,48,53,Channel Catfish,620,3.2,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Spotted Gar,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Spotted Gar,8,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Smallmouth Buffalo,7,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Smallmouth Buffalo,7,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,7,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Channel Catfish,6,0.2,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Spotted Gar,6,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Spotted Gar,647,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Spotted Gar,634,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,315,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Channel Catfish,479,1,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Channel Catfish,415,0.6,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,229,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,227,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,282,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,227,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,222,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,251,,,,,,
Gillnet,37,17:11,9:30,16:19,9.45,7.79,17.4,15.3,43,50,Gizzard Shad,356,,,,,,
Gillnet,38,17:39,10:36,16:57,9.39,9.3,17.7,15.2,48,43,Channel Catfish,466,1,,,,,
Gillnet,38,17:39,10:36,16:57,9.39,9.3,17.7,15.2,48,43,Channel Catfish,488,0.8,,,,,
Gillnet,38,17:39,10:36,16:57,9.39,9.3,17.7,15.2,48,43,Channel Catfish,647,3,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
